OUTLET,abc,BBC News,The New York Times Company,Reuters,Times of India
abc,1.0,0.17793594306049823,0.9166666666666666,0.2,0.5864197530864198
BBC News,0.17793594306049823,1.0,0.16901408450704225,0.24829931972789115,0.21299638989169675
The New York Times Company,0.9166666666666666,0.16901408450704225,1.0,0.1991701244813278,0.5828220858895705
Reuters,0.2,0.24829931972789115,0.1991701244813278,1.0,0.2575107296137339
Times of India,0.5864197530864198,0.21299638989169675,0.5828220858895705,0.2575107296137339,1.0
